icrates_id,deposit_id,location_id,fabric_id,standard_form_id,standard_form_publication_uncertain,standard_form_icrates,deposit_lower_date,deposit_upper_date,fabric,fabric_h1,standard_form,fabric,standard_typo_chronological_lower_date,standard_typo_chronological_upper_date
63,1705.0,40.0,51.0,1254.0,0,,,,ESC,esc,M-SSu13,ESC,1.0,100.0
64,1705.0,40.0,51.0,1241.0,0,,,,ESC,esc,M-SSa21,ESC,1.0,75.0
65,1705.0,40.0,51.0,1258.0,0,,,,ESC,esc,M-SSu18,ESC,25.0,200.0
66,1705.0,40.0,51.0,1235.0,0,,,,ESC,esc,M-SSa14b,ESC,1.0,125.0
67,1705.0,40.0,51.0,1234.0,0,,,,ESC,esc,M-SSa14a,ESC,-100.0,200.0
68,1705.0,40.0,51.0,1234.0,0,,,,ESC,esc,M-SSa14a,ESC,-100.0,200.0
69,1705.0,40.0,51.0,1258.0,0,,,,ESC,esc,M-SSu18,ESC,25.0,200.0
70,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
71,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
72,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
73,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
74,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
75,1705.0,40.0,51.0,1191.0,0,,,,ESC,esc,M-SKg1,ESC,-75.0,75.0
76,1705.0,40.0,51.0,1192.0,0,,,,ESC,esc,M-SKg2,ESC,-100.0,75.0
77,1705.0,40.0,51.0,1192.0,0,,,,ESC,esc,M-SKg2,ESC,-100.0,75.0
78,1705.0,40.0,51.0,1192.0,0,,,,ESC,esc,M-SKg2,ESC,-100.0,75.0
79,1705.0,40.0,51.0,1191.0,0,,,,ESC,esc,M-SKg1,ESC,-75.0,75.0
80,1705.0,40.0,51.0,1191.0,0,,,,ESC,esc,M-SKg1,ESC,-75.0,75.0
81,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
82,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
83,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
84,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
85,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
86,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
87,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
88,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
89,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
90,1705.0,40.0,51.0,1194.0,0,,,,ESC,esc,M-SKr6,ESC,-25.0,75.0
91,1705.0,40.0,51.0,1193.0,0,,,,ESC,esc,M-SKr10,ESC,-125.0,-1.0
92,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
93,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
94,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
95,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
96,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
97,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
98,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
99,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
100,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
101,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
102,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
103,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
104,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
105,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
106,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
107,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
108,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
109,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
110,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
111,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
112,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
113,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
114,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
115,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
116,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
117,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
118,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
119,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
120,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
121,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
122,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
123,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
124,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
125,1705.0,40.0,51.0,1201.0,0,,,,ESC,esc,M-SN2,ESC,-100.0,75.0
126,1705.0,40.0,51.0,1205.0,0,,,,ESC,esc,M-SN3,ESC,-75.0,100.0
127,1705.0,40.0,51.0,1205.0,0,,,,ESC,esc,M-SN3,ESC,-75.0,100.0
128,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
129,1705.0,40.0,51.0,1199.0,0,,,,ESC,esc,M-SN13,ESC,1.0,50.0
130,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
131,1705.0,40.0,51.0,1199.0,0,,,,ESC,esc,M-SN13,ESC,1.0,50.0
132,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
